SGAN;Presentación;Peso Neto (kg);Tipo;Categoría;Regional;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;Septiembre;Octubre;Noviembre;Diciembre;Target Market;Tipo ABC;Septiembre;Octubre;Noviembre;Diciembre
S681;KG;1;FERT;YBLK;CALI;7.500;9.540;6.000;6.540;11.430;0;6.835;6.835;6.835;6.835;CONCRETE.;A;6.000;6.000;5.101;4.609
S2088;KG;1;FERT;YBLK;MEDELLÍN;171.300;162.000;197.400;145.800;165.600;127.500;161.600;161.600;161.600;161.600;CONCRETE.;A;195.000;195.000;130.741;151.333
S2088;KG;1;FERT;YBLK;PEREIRA;7.800;10.500;7.200;12.600;9.000;7.200;9.600;9.600;9.600;9.600;CONCRETE.;A;9.476;9.121;7.407;8.573
S3604;KG;1;FERT;YBLK;BARRANQUILLA;204.090;144.570;179.700;163.500;182.880;189.690;178.690;178.690;178.690;178.690;CONCRETE.;A;180.000;180.000;189.690;189.690
S3661;KG;1;FERT;YBLK;BARRANQUILLA;159.000;124.440;147.240;120.000;114.000;153.690;136.395;136.395;136.395;136.395;CONCRETE.;A;127.326;135.238;135.238;135.238
S1226;KG;1;FERT;YBLK;BOGOTÁ;138.960;95.175;30.987;63.000;69.600;22.500;70.037;70.037;70.037;70.037;CONCRETE.;A;45.000;45.000;26.014;26.014
S1226;KG;1;FERT;YBLK;CALI;19.200;21.900;26.700;5.700;17.700;10.500;16.950;16.950;16.950;16.950;CONCRETE.;A;27.000;27.000;2.638;2.638
S1226;KG;1;FERT;YBLK;ORIENTE;6.000;10.500;24.000;19.500;8.115;15;11.355;11.355;11.355;11.355;CONCRETE.;A;12.000;12.000;3.758;3.758
S1226;KG;1;FERT;YBLK;BARRANQUILLA;1.500;9.000;4.500;0;0;0;2.500;2.500;2.500;2.500;CONCRETE.;A;0;0;378;378
S1226;KG;1;FERT;YBLK;PEREIRA;0;0;0;6.000;3.000;0;3.000;3.000;3.000;3.000;CONCRETE.;A;693;227;227;227
S86;PC;50;FERT;NORM;CALI;38.064;30.531;36.138;24.687;26.427;24.336;30.031;30.031;30.031;30.031;BUILDING FINISHING;A;22.272;23.424;21.060;17.253
S86;PC;50;FERT;NORM;ORIENTE;23.208;32.394;43.758;66.303;43.638;41.955;50.632;50.632;50.632;50.632;BUILDING FINISHING;A;28.879;31.072;27.936;22.886
S86;PC;50;FERT;NORM;PEREIRA;10.860;7.065;7.452;9.477;6.327;9.573;8.459;8.459;8.459;8.459;BUILDING FINISHING;A;7.172;7.789;7.003;5.737
S86;PC;50;FERT;NORM;BARRANQUILLA;8.592;18.450;9.813;8.817;7.467;9.435;10.429;10.429;10.429;10.429;BUILDING FINISHING;A;8.367;9.019;8.108;6.643
S86;PC;50;FERT;NORM;SANTANDER;3.270;1.629;2.634;6.696;4.770;6.060;5.842;5.842;5.842;5.842;BUILDING FINISHING;A;2.839;3.189;2.868;2.349
S86;PC;50;FERT;NORM;BOGOTÁ;198;318;948;2.064;1.605;2.400;2.023;2.023;2.023;2.023;BUILDING FINISHING;A;830;991;891;730
S86;PC;50;FERT;NORM;MEDELLÍN;1.878;1.008;708;2.124;2.544;2.826;2.498;2.498;2.498;2.498;BUILDING FINISHING;A;730;980;881;722
S4321;M;0,005;FERT;NORM;BARRANQUILLA;20.124;13.104;19.059;60.381;3.591;32.997;32.323;32.323;32.323;32.323;SEALING & BONDING;B;32.258;26.980;26.971;33.512
S4321;M;0,005;FERT;NORM;BOGOTÁ;8.706;24.246;26.328;14.532;17.235;3.747;15.799;15.799;15.799;15.799;SEALING & BONDING;B;15.634;12.406;12.402;15.410
S4321;M;0,005;FERT;NORM;ORIENTE;6.582;6.582;7.632;9.888;5.100;3.381;6.528;6.528;6.528;6.528;SEALING & BONDING;B;21.551;12.139;12.135;15.078
S4321;M;0,005;FERT;NORM;CALI;16.605;10.791;26.448;12.198;1.416;246;11.284;11.284;11.284;11.284;SEALING & BONDING;B;11.748;8.816;8.813;10.950
S4321;M;0,005;FERT;NORM;MEDELLÍN;3.291;0;3.291;13.164;0;4.704;5.956;5.956;5.956;5.956;SEALING & BONDING;B;8.584;6.878;6.876;8.543
S4321;M;0,005;FERT;NORM;SANTANDER;12.423;4.500;3.291;600;900;0;3.619;3.619;3.619;3.619;SEALING & BONDING;B;7.855;6.296;6.294;7.821
S4321;M;0,005;FERT;NORM;PEREIRA;6.582;3.291;1.800;3.171;3.291;0;3.023;3.023;3.023;3.023;SEALING & BONDING;B;4.221;2.556;2.555;3.175
S615;PC;27;FERT;NORM;BARRANQUILLA;52.905;18.930;32.451;24.252;26.481;54.528;35.087;35.087;35.087;35.087;BUILDING FINISHING;A;31.828;42.081;37.399;36.696
S615;PC;27;FERT;NORM;PEREIRA;14.781;9.765;13.623;14.553;14.112;13.881;14.182;14.182;14.182;14.182;BUILDING FINISHING;A;13.373;17.281;15.358;15.070
S615;PC;27;FERT;NORM;ORIENTE;12.951;9.423;12.267;19.182;17.460;13.038;16.560;16.560;16.560;16.560;BUILDING FINISHING;A;12.530;14.989;13.321;13.070
S615;PC;27;FERT;NORM;SANTANDER;10.701;12.585;14.475;2.739;9.024;4.380;8.984;8.984;8.984;8.984;BUILDING FINISHING;A;10.424;12.405;11.025;10.818
S615;PC;27;FERT;NORM;CALI;9.444;3.507;4.596;4.473;6.069;8.076;6.206;6.206;6.206;6.206;BUILDING FINISHING;A;4.043;5.074;4.510;4.425
S615;PC;27;FERT;NORM;BOGOTÁ;8.436;5.049;6.855;3.306;4.827;4.626;5.517;5.517;5.517;5.517;BUILDING FINISHING;A;3.494;4.725;4.199;4.120
S615;PC;27;FERT;NORM;MEDELLÍN;1.245;3.480;1.596;1.122;1.389;1.446;1.713;1.713;1.713;1.713;BUILDING FINISHING;A;1.374;1.717;1.526;1.497
S1285;PC;0,288;HAWA;NORM;BARRANQUILLA;32.928;13.068;10.008;18.864;12.456;24.444;18.628;18.628;18.628;18.628;INDUSTRY;A;30.000;30.000;30.000;30.000
S1285;PC;0,288;HAWA;NORM;MEDELLÍN;17.892;15.480;18.612;12.600;5.580;13.680;13.974;13.974;13.974;13.974;INDUSTRY;A;11.317;13.713;10.890;10.587
S1285;PC;0,288;HAWA;NORM;CALI;16.668;7.416;17.388;12.132;5.256;24.588;13.992;13.992;13.992;13.992;INDUSTRY;A;13.500;13.500;14.400;13.500
S1285;PC;0,288;HAWA;NORM;BOGOTÁ;2.433;16.188;2.868;21.048;8.748;4.923;11.573;11.573;11.573;11.573;INDUSTRY;A;20.736;20.736;20.736;20.736
S1285;PC;0,288;HAWA;NORM;SANTANDER;7.776;9.360;3.672;3.636;0;0;4.074;4.074;4.074;4.074;INDUSTRY;A;6.798;5.993;4.759;4.627
S1285;PC;0,288;HAWA;NORM;ORIENTE;288;9.000;4.392;108;11.664;3.276;5.016;5.016;5.016;5.016;INDUSTRY;A;5.544;5.544;5.544;5.544
S1285;PC;0,288;HAWA;NORM;PEREIRA;432;4.068;432;0;864;864;1.110;1.110;1.110;1.110;INDUSTRY;A;3.600;3.600;2.400;2.400
S947;PC;0,471;FERT;NORM;BOGOTÁ;51.912;45.360;32.025;22.473;43.551;68.748;44.924;44.924;44.924;44.924;SEALING & BONDING;A;38.903;43.217;44.971;50.100
S947;PC;0,471;FERT;NORM;ORIENTE;7.404;5.724;8.061;11.844;10.296;10.524;10.888;10.888;10.888;10.888;SEALING & BONDING;A;9.722;9.658;10.049;11.196
S947;PC;0,471;FERT;NORM;PEREIRA;12.708;4.038;6.822;4.536;3.816;4.788;6.118;6.118;6.118;6.118;SEALING & BONDING;A;7.259;7.303;7.599;8.466
S947;PC;0,471;FERT;NORM;CALI;5.136;1.842;2.580;6.519;4.857;3.996;5.124;5.124;5.124;5.124;SEALING & BONDING;A;5.234;5.209;5.421;6.039
S947;PC;0,471;FERT;NORM;SANTANDER;14.976;4.788;468;504;540;0;3.546;3.546;3.546;3.546;SEALING & BONDING;A;2.740;2.753;2.865;3.191
S947;PC;0,471;FERT;NORM;MEDELLÍN;1.620;1.323;1.008;2.052;1.800;1.872;1.908;1.908;1.908;1.908;SEALING & BONDING;A;1.603;1.628;1.694;1.887
S947;PC;0,471;FERT;NORM;BARRANQUILLA;1.128;1.353;1.128;516;1.323;1.167;1.103;1.103;1.103;1.103;SEALING & BONDING;A;753;775;806;898
S4324;M;0,001;FERT;NORM;BARRANQUILLA;7.425;20.475;5.925;34.569;18.300;21.060;24.643;24.643;24.643;24.643;SEALING & BONDING;B;21.985;21.741;18.070;29.741
S4324;M;0,001;FERT;NORM;ORIENTE;26.280;0;15.300;37.575;13.800;2.100;17.825;17.825;17.825;17.825;SEALING & BONDING;B;20.153;18.079;15.026;24.733
S4324;M;0,001;FERT;NORM;BOGOTÁ;6.498;5.700;44.187;15.300;5.190;5.100;13.663;13.663;13.663;13.663;SEALING & BONDING;B;19.547;17.354;14.424;23.741
S4324;M;0,001;FERT;NORM;CALI;10.350;11.100;735;17.175;11.205;1.500;9.960;9.960;9.960;9.960;SEALING & BONDING;B;10.665;9.059;7.529;12.393
S4324;M;0,001;FERT;NORM;SANTANDER;10.200;0;3.000;150;6.000;0;3.225;3.225;3.225;3.225;SEALING & BONDING;B;11.599;10.212;8.488;13.970
S4324;M;0,001;FERT;NORM;PEREIRA;10.200;0;0;10.200;0;5.100;5.100;5.100;5.100;5.100;SEALING & BONDING;B;8.547;7.835;6.512;10.719
S4324;M;0,001;FERT;NORM;MEDELLÍN;0;0;900;2.550;120;0;890;890;890;890;SEALING & BONDING;B;1.185;666;553;911
S2858;PC;25;FERT;NORM;BARRANQUILLA;29.532;24.381;29.028;11.808;40.983;20.772;26.084;26.084;26.084;26.084;BUILDING FINISHING;A;25.912;26.933;29.471;24.038
S2858;PC;25;FERT;NORM;SANTANDER;9.309;15.771;9.360;12.285;10.260;20.400;14.315;14.315;14.315;14.315;BUILDING FINISHING;A;11.679;14.160;15.494;12.638
S2858;PC;25;FERT;NORM;BOGOTÁ;6.480;8.439;17.550;10.749;19.758;13.440;14.649;14.649;14.649;14.649;BUILDING FINISHING;A;10.583;12.039;13.173;10.745
S2858;PC;25;FERT;NORM;ORIENTE;9.582;3.120;6.420;3.822;14.940;12.768;10.510;10.510;10.510;10.510;BUILDING FINISHING;A;9.443;10.682;11.689;9.534
S2858;PC;25;FERT;NORM;MEDELLÍN;16.170;11.751;9.255;5.481;12.990;7.980;10.605;10.605;10.605;10.605;BUILDING FINISHING;A;9.536;9.918;10.853;8.852
S2858;PC;25;FERT;NORM;CALI;6.693;9.903;11.592;552;1.626;516;5.147;5.147;5.147;5.147;BUILDING FINISHING;A;3.679;3.549;3.884;3.168
S2858;PC;25;FERT;NORM;PEREIRA;1.875;1.455;0;924;2.220;954;1.366;1.366;1.366;1.366;BUILDING FINISHING;A;1.206;1.191;1.303;1.063
S3534;KG;1;FERT;YBLK;ORIENTE;54.000;27.000;81.000;54.000;81.000;26.640;53.940;53.940;53.940;53.940;CONCRETE.;A;75.000;75.000;51.488;51.488
S4131;PC;1;FERT;NORM;BARRANQUILLA;27.606;27.174;43.914;24.156;18.075;14.172;25.850;25.850;25.850;25.850;WATERPROOFING;A;27.720;31.495;33.108;23.177
S4131;PC;1;FERT;NORM;BOGOTÁ;17.808;9.888;21.540;10.560;18.855;18.279;16.155;16.155;16.155;16.155;WATERPROOFING;A;11.116;13.473;14.163;9.915
S4131;PC;1;FERT;NORM;MEDELLÍN;4.620;5.676;8.520;4.605;5.160;3.876;5.410;5.410;5.410;5.410;WATERPROOFING;A;5.569;5.953;6.258;4.381
S4131;PC;1;FERT;NORM;CALI;4.380;4.245;9.114;5.829;2.883;4.800;5.209;5.209;5.209;5.209;WATERPROOFING;A;4.156;4.860;5.109;3.577
S4131;PC;1;FERT;NORM;SANTANDER;4.920;1.950;10.416;4.932;1.215;240;3.946;3.946;3.946;3.946;WATERPROOFING;A;4.658;5.081;5.341;3.739
S4131;PC;1;FERT;NORM;ORIENTE;3.360;3.780;2.580;4.794;3.180;2.640;3.538;3.538;3.538;3.538;WATERPROOFING;A;3.133;3.506;3.686;2.580
S4131;PC;1;FERT;NORM;PEREIRA;1.980;810;1.440;1.020;1.200;1.260;1.285;1.285;1.285;1.285;WATERPROOFING;A;1.122;1.323;1.390;973
S4103;KG;1;FERT;YBLK;BARRANQUILLA;63.000;96.000;8.490;39.330;49.500;52.350;51.445;51.445;51.445;51.445;CONCRETE.;B;120.000;120.000;24.073;29.526
S852;KG;1;FERT;YBLK;MEDELLÍN;33.000;60.000;43.530;61.500;73.500;51.300;62.100;62.100;62.100;62.100;CONCRETE.;B;42.337;54.680;36.793;42.923
S852;KG;1;FERT;YBLK;PEREIRA;3.000;0;4.500;7.500;6.000;0;4.500;4.500;4.500;4.500;CONCRETE.;B;3.333;3.671;2.470;2.881
S852;KG;1;FERT;YBLK;CALI;6.000;9.000;24.075;0;0;0;6.513;6.513;6.513;6.513;CONCRETE.;B;4.143;5.293;3.562;4.155
S852;KG;1;FERT;YBLK;BARRANQUILLA;0;0;0;0;0;0;0;0;0;0;CONCRETE.;B;1.149;1.468;988;1.153
S3317;KG;1;FERT;YBLK;SANTANDER;54.000;45.000;63.480;15.000;39.720;31.500;41.450;41.450;41.450;41.450;CONCRETE.;A;48.560;61.205;57.294;55.576
S3317;KG;1;FERT;YBLK;MEDELLÍN;9.000;15.045;6.600;19.500;9.600;23.100;17.400;17.400;17.400;17.400;CONCRETE.;A;11.738;17.476;16.359;15.869
S3317;KG;1;FERT;YBLK;ORIENTE;0;0;0;0;0;135;45;45;45;45;CONCRETE.;A;0;16;15;15
S87;PC;25;FERT;NORM;SANTANDER;37.782;10.440;25.140;42.063;48.480;46.800;45.781;45.781;45.781;45.781;BUILDING FINISHING;A;23.215;34.837;28.716;27.672
S87;PC;25;FERT;NORM;CALI;6.552;6.795;7.593;5.910;3.801;3.981;5.772;5.772;5.772;5.772;BUILDING FINISHING;A;4.411;6.315;5.205;5.016
S87;PC;25;FERT;NORM;ORIENTE;2.433;2.736;2.700;2.040;6.762;5.178;4.660;4.660;4.660;4.660;BUILDING FINISHING;A;3.870;5.016;4.134;3.984
S87;PC;25;FERT;NORM;MEDELLÍN;2.889;2.130;990;2.706;2.235;3.285;2.742;2.742;2.742;2.742;BUILDING FINISHING;A;2.007;2.843;2.344;2.259
S87;PC;25;FERT;NORM;BARRANQUILLA;4.836;141;465;9;75;0;921;921;921;921;BUILDING FINISHING;A;1.972;2.245;1.851;1.783
S87;PC;25;FERT;NORM;PEREIRA;1.071;1.539;1.005;2.247;300;1.239;1.262;1.262;1.262;1.262;BUILDING FINISHING;A;963;1.363;1.124;1.083
S87;PC;25;FERT;NORM;BOGOTÁ;4.986;93;1.200;105;321;420;1.188;1.188;1.188;1.188;BUILDING FINISHING;A;731;976;805;776
S3509;KG;1;FERT;YBLK;BOGOTÁ;0;0;18.060;39.510;49.500;30.000;39.670;39.670;39.670;39.670;CONCRETE.;A;75.000;75.000;0;0
S3509;KG;1;FERT;YBLK;MEDELLÍN;6.000;6.060;18.000;12.000;0;0;7.010;7.010;7.010;7.010;CONCRETE.;A;15.000;15.000;0;0
S3509;KG;1;FERT;YBLK;CALI;0;0;0;0;90;0;30;30;30;30;CONCRETE.;A;12;5;0;0
S3071;KG;1;FERT;YBLK;BARRANQUILLA;76.500;40.500;11.790;14.580;68.595;33.015;40.830;40.830;40.830;40.830;CONCRETE.;A;45.000;45.000;19.494;23.057
