SGAN;Presentación;Peso Neto (kg);Tipo;Categoría;Regional;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;Marzo;Abril;Mayo;Junio;Target Market;Tipo ABC;Marzo;Abril;Mayo;Junio
S681;KG;1;FERT;YBLK;SANTANDER;0;9.000;3.150;9.000;15.870;17.100;13.990;13.990;13.990;13.990;CONCRETE.;A;9.000;9.000;9.000;7.972
S681;KG;1;FERT;YBLK;CALI;6.900;7.500;0;0;9.000;0;3.900;3.900;3.900;3.900;CONCRETE.;A;0;0;0;5.411
S681;KG;1;FERT;YBLK;BOGOTÁ;0;-10.470;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;0;6.475
S3814;KG;1;FERT;YBLK;BOGOTÁ;98.700;111.000;92.400;56.700;74.100;103.500;89.400;89.400;89.400;89.400;CONCRETE.;C;90.000;90.000;90.000;144.446
S3814;KG;1;FERT;YBLK;BARRANQUILLA;5.712;16.950;25.500;43.998;65.880;34.860;48.246;48.246;48.246;48.246;CONCRETE.;C;60.000;60.000;60.000;32.549
S3814;KG;1;FERT;YBLK;ORIENTE;10.500;0;12.000;6.000;12.000;6.000;8.000;8.000;8.000;8.000;CONCRETE.;C;9.000;9.000;9.000;7.493
S3814;KG;1;FERT;YBLK;MEDELLÍN;0;0;0;0;0;0;0;0;0;0;CONCRETE.;C;0;0;0;48
S2088;KG;1;FERT;YBLK;MEDELLÍN;123.000;180.600;109.500;120.000;50.400;107.700;115.200;115.200;115.200;115.200;CONCRETE.;A;90.000;60.000;15.000;121.656
S2088;KG;1;FERT;YBLK;PEREIRA;7.500;13.500;13.500;12.000;18.000;7.500;12.500;12.500;12.500;12.500;CONCRETE.;A;12.000;12.000;12.000;9.000
S3661;KG;1;FERT;YBLK;BARRANQUILLA;114.000;129.285;127.170;117.390;134.490;167.940;139.940;139.940;139.940;139.940;CONCRETE.;A;129.000;129.000;129.000;139.939
S86;PC;50;FERT;NORM;ORIENTE;67.824;49.617;69.075;57.294;74.859;53.715;62.064;62.064;62.064;62.064;BUILDING FINISHING;A;62.178;55.906;55.906;55.906
S86;PC;50;FERT;NORM;CALI;34.683;26.751;33.342;37.185;33.216;32.364;34.255;34.255;34.255;34.255;BUILDING FINISHING;A;31.590;33.861;33.861;33.861
S86;PC;50;FERT;NORM;BARRANQUILLA;9.033;12.741;11.862;8.886;10.800;9.669;10.499;10.499;10.499;10.499;BUILDING FINISHING;A;12.000;11.256;11.256;11.256
S86;PC;50;FERT;NORM;PEREIRA;10.434;11.967;12.063;4.452;7.632;10.887;9.573;9.573;9.573;9.573;BUILDING FINISHING;A;10.500;4.413;4.413;9.698
S86;PC;50;FERT;NORM;SANTANDER;4.950;9.300;6.420;6.120;1.950;0;4.790;4.790;4.790;4.790;BUILDING FINISHING;A;7.068;4.823;4.823;4.823
S86;PC;50;FERT;NORM;BOGOTÁ;5.439;2.745;7.245;4.107;5.535;5.289;5.060;5.060;5.060;5.060;BUILDING FINISHING;A;5.145;3.397;3.397;3.397
S86;PC;50;FERT;NORM;MEDELLÍN;2.328;2.688;450;483;216;918;1.181;1.181;1.181;1.181;BUILDING FINISHING;A;1.620;2.700;3.000;3.000
S615;PC;27;FERT;NORM;BARRANQUILLA;36.498;42.408;54.879;58.743;36.786;48.801;48.110;48.110;48.110;48.110;BUILDING FINISHING;A;48.000;32.479;20.613;22.857
S615;PC;27;FERT;NORM;PEREIRA;24.735;15.006;22.554;25.479;11.730;8.280;17.964;17.964;17.964;17.964;BUILDING FINISHING;A;17.700;12.554;7.968;8.835
S615;PC;27;FERT;NORM;ORIENTE;10.443;20.556;24.729;23.688;17.655;10.287;17.893;17.893;17.893;17.893;BUILDING FINISHING;A;16.338;12.766;8.102;8.984
S615;PC;27;FERT;NORM;SANTANDER;16.461;14.559;23.391;12.504;17.037;13.299;16.209;16.209;16.209;16.209;BUILDING FINISHING;A;18.255;10.067;6.389;7.085
S615;PC;27;FERT;NORM;CALI;4.680;7.152;3.957;6.966;5.505;3.381;5.284;5.284;5.284;5.284;BUILDING FINISHING;A;4.899;4.516;2.866;3.178
S615;PC;27;FERT;NORM;BOGOTÁ;1.836;7.149;3.963;1.176;5.523;969;3.436;3.436;3.436;3.436;BUILDING FINISHING;A;5.349;3.577;2.270;2.518
S615;PC;27;FERT;NORM;MEDELLÍN;1.575;1.509;651;873;1.992;1.347;1.404;1.404;1.404;1.404;BUILDING FINISHING;A;804;1.214;1.350;1.500
S2858;PC;25;FERT;NORM;BARRANQUILLA;24.819;35.622;46.470;38.835;28.584;40.902;36.107;36.107;36.107;36.107;BUILDING FINISHING;A;45.000;43.422;43.368;38.851
S2858;PC;25;FERT;NORM;SANTANDER;32.640;20.400;25.500;18.360;37.920;16.920;25.290;25.290;25.290;25.290;BUILDING FINISHING;A;15.000;26.763;26.730;23.946
S2858;PC;25;FERT;NORM;BOGOTÁ;11.718;18.600;16.362;13.548;41.472;32.955;29.325;29.325;29.325;29.325;BUILDING FINISHING;A;12.000;24.655;24.624;22.060
S2858;PC;25;FERT;NORM;MEDELLÍN;6.240;14.700;7.677;8.580;10.110;15.330;11.340;11.340;11.340;11.340;BUILDING FINISHING;A;15.900;15.000;15.000;15.000
S2858;PC;25;FERT;NORM;ORIENTE;5.043;9.435;11.511;12.279;8.100;7.185;9.188;9.188;9.188;9.188;BUILDING FINISHING;A;9.156;12.172;12.157;10.891
S2858;PC;25;FERT;NORM;CALI;7.890;9.552;5.946;1.920;8.820;7.584;6.952;6.952;6.952;6.952;BUILDING FINISHING;A;4.500;8.479;8.469;7.587
S2858;PC;25;FERT;NORM;PEREIRA;1.764;1.902;990;231;1.137;2.634;1.443;1.443;1.443;1.443;BUILDING FINISHING;A;1.500;1.879;1.877;1.681
S4321;M;0,005;FERT;NORM;BARRANQUILLA;74.904;29.250;42.942;21.495;44.136;28.128;40.143;40.143;40.143;40.143;SEALING & BONDING;B;20.904;47.926;30.840;26.263
S4321;M;0,005;FERT;NORM;MEDELLÍN;105.312;0;39.492;3.291;1.500;3.054;25.442;25.442;25.442;25.442;SEALING & BONDING;B;11.147;21.757;14.000;11.923
S4321;M;0,005;FERT;NORM;ORIENTE;6.582;29.619;12.273;26.328;4.701;9.591;14.849;14.849;14.849;14.849;SEALING & BONDING;B;9.615;15.757;10.139;8.635
S4321;M;0,005;FERT;NORM;BOGOTÁ;18.264;0;21.036;5.625;31.080;3.297;13.334;13.334;13.334;13.334;SEALING & BONDING;B;9.561;21.388;13.763;11.721
S4321;M;0,005;FERT;NORM;CALI;0;19.635;2.250;11.985;6.891;11.433;10.103;10.103;10.103;10.103;SEALING & BONDING;B;6.806;14.729;9.478;8.072
S4321;M;0,005;FERT;NORM;PEREIRA;16.455;90;6.582;12.291;0;6.582;7.000;7.000;7.000;7.000;SEALING & BONDING;B;3.274;7.388;4.754;4.048
S4321;M;0,005;FERT;NORM;SANTANDER;0;600;3.291;0;0;0;649;649;649;649;SEALING & BONDING;B;1.554;3.145;2.024;1.724
S4324;M;0,001;FERT;NORM;BARRANQUILLA;28.152;31.773;27.207;12.075;55.875;9.285;27.395;27.395;27.395;27.395;SEALING & BONDING;B;42.934;16.706;22.732;31.725
S4324;M;0,001;FERT;NORM;ORIENTE;4.410;6.600;15.120;18.150;11.400;49.200;26.250;26.250;26.250;26.250;SEALING & BONDING;B;21.062;12.274;16.702;23.309
S4324;M;0,001;FERT;NORM;BOGOTÁ;5.100;22.500;26.550;3.060;24.858;18.411;16.747;16.747;16.747;16.747;SEALING & BONDING;B;27.230;11.201;15.242;21.271
S4324;M;0,001;FERT;NORM;CALI;5.100;7.650;6.375;36.660;17.370;1.500;18.510;18.510;18.510;18.510;SEALING & BONDING;B;17.122;7.779;10.586;14.773
S4324;M;0,001;FERT;NORM;PEREIRA;10.200;0;10.500;0;5.100;10.200;6.000;6.000;6.000;6.000;SEALING & BONDING;B;7.712;3.776;5.138;7.170
S4324;M;0,001;FERT;NORM;SANTANDER;0;0;600;0;0;0;100;100;100;100;SEALING & BONDING;B;3.641;1.225;1.667;2.326
S4324;M;0,001;FERT;NORM;MEDELLÍN;0;300;300;0;540;150;230;230;230;230;SEALING & BONDING;B;644;298;406;567
S1285;PC;0,288;HAWA;NORM;BARRANQUILLA;28.842;28.764;32.811;6.495;46.245;13.608;26.128;26.128;26.128;26.128;INDUSTRY;A;30.240;30.240;30.240;16.954
S1285;PC;0,288;HAWA;NORM;BOGOTÁ;10.668;11.412;6.405;567;30.321;4.464;11.784;11.784;11.784;11.784;INDUSTRY;A;15.624;18.996;15.624;7.579
S1285;PC;0,288;HAWA;NORM;MEDELLÍN;13.284;32.580;5.472;17.094;10.260;8.718;14.568;14.568;14.568;14.568;INDUSTRY;A;16.800;14.400;16.800;10.812
S1285;PC;0,288;HAWA;NORM;CALI;14.148;7.668;9.072;7.128;15.192;13.464;11.928;11.928;11.928;11.928;INDUSTRY;A;9.994;9.821;12.220;9.478
S1285;PC;0,288;HAWA;NORM;ORIENTE;1.836;2.772;1.584;402;13.068;1.260;4.910;4.910;4.910;4.910;INDUSTRY;A;5.400;5.400;5.400;3.135
S1285;PC;0,288;HAWA;NORM;SANTANDER;0;0;36;0;3.600;0;1.200;1.200;1.200;1.200;INDUSTRY;A;5.646;5.635;5.693;1.773
S1285;PC;0,288;HAWA;NORM;PEREIRA;1.728;0;0;72;864;2.268;1.068;1.068;1.068;1.068;INDUSTRY;A;2.400;2.400;2.400;1.080
S852;KG;1;FERT;YBLK;MEDELLÍN;82.560;62.400;61.500;46.500;66.000;63.000;63.660;63.660;63.660;63.660;CONCRETE.;B;67.815;72.816;74.535;72.381
S852;KG;1;FERT;YBLK;CALI;0;18.000;11.400;0;0;13.071;7.079;7.079;7.079;7.079;CONCRETE.;B;6.255;6.280;6.481;6.227
S852;KG;1;FERT;YBLK;PEREIRA;0;4.200;6.000;3.000;0;3.000;2.700;2.700;2.700;2.700;CONCRETE.;B;6.000;6.000;6.000;6.000
S852;KG;1;FERT;YBLK;BARRANQUILLA;0;0;0;0;0;0;0;0;0;0;CONCRETE.;B;674;0;0;0
S3534;KG;1;FERT;YBLK;ORIENTE;135.000;54.000;81.000;81.000;81.000;81.000;85.500;85.500;85.500;85.500;CONCRETE.;A;81.000;81.000;81.000;78.923
S3534;KG;1;FERT;YBLK;MEDELLÍN;0;0;0;0;0;3.000;1.000;1.000;1.000;1.000;CONCRETE.;A;0;283;283;283
S3499;KG;1;FERT;YBLK;BARRANQUILLA;31.980;31.200;51.960;53.550;31.500;46.650;43.900;43.900;43.900;43.900;CONCRETE.;B;46.500;46.500;46.500;46.163
S3499;KG;1;FERT;YBLK;CALI;30.300;51.600;30.300;22.200;40.200;50.100;37.500;37.500;37.500;37.500;CONCRETE.;B;38.845;38.548;55.944;47.114
S3499;KG;1;FERT;YBLK;PEREIRA;4.200;0;3.000;0;0;0;1.200;1.200;1.200;1.200;CONCRETE.;B;0;0;3.000;2.302
