SGAN;Presentación;Peso Neto (kg);Tipo;Categoría;Regional;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;Septiembre;Octubre;Noviembre;Diciembre;Target Market;Tipo ABC;Septiembre;Octubre;Noviembre;Diciembre
S792;KG;1;FERT;YBLK;MEDELLÍN;613.575;624.300;713.550;561.750;679.200;605.340;632.953;632.953;632.953;632.953;CONCRETE.;A;660.000;660.000;600.000;540.000
S792;KG;1;FERT;YBLK;CALI;0;30.000;0;30.000;51.000;0;27.000;27.000;27.000;27.000;CONCRETE.;A;30.000;30.000;30.000;30.000
S792;KG;1;FERT;YBLK;PEREIRA;15.000;0;24.000;12.000;9.000;0;10.000;10.000;10.000;10.000;CONCRETE.;A;9.000;9.000;9.000;0
S792;KG;1;FERT;YBLK;SANTANDER;0;0;0;0;22.800;0;7.600;7.600;7.600;7.600;CONCRETE.;A;22.500;0;22.500;0
S276;KG;1;FERT;YBLK;BOGOTÁ;167.100;209.400;184.200;211.500;206.400;199.200;205.700;205.700;205.700;205.700;CONCRETE.;A;210.000;210.000;210.000;210.000
S276;KG;1;FERT;YBLK;CALI;124.800;139.902;124.800;114.000;101.400;143.880;124.797;124.797;124.797;124.797;CONCRETE.;A;105.000;90.000;75.000;0
S276;KG;1;FERT;YBLK;SANTANDER;34.500;67.200;86.400;49.800;56.700;58.200;58.800;58.800;58.800;58.800;CONCRETE.;A;54.000;54.000;54.000;54.000
S276;KG;1;FERT;YBLK;PEREIRA;48.600;51.000;34.200;26.700;49.500;43.200;42.200;42.200;42.200;42.200;CONCRETE.;A;19.500;19.500;19.500;19.500
S276;KG;1;FERT;YBLK;ORIENTE;12.000;28.500;16.500;18.000;12.000;7.500;15.750;15.750;15.750;15.750;CONCRETE.;A;21.000;21.000;21.000;21.000
S2931;KG;1;FERT;YBLK;BARRANQUILLA;315.990;310.230;290.580;272.610;214.800;151.830;259.340;259.340;259.340;259.340;CONCRETE.;A;120.000;90.000;0;0
S846;KG;1;FERT;YBLK;MEDELLÍN;147.000;129.450;142.500;111.000;111.000;143.100;130.675;130.675;130.675;130.675;CONCRETE.;A;120.000;120.000;120.000;105.000
S846;KG;1;FERT;YBLK;SANTANDER;27.600;34.800;30.300;27.900;24.900;20.400;27.650;27.650;27.650;27.650;CONCRETE.;A;27.000;27.000;27.000;27.000
S846;KG;1;FERT;YBLK;CALI;33.108;23.448;42.360;35.022;49.545;78.168;54.245;54.245;54.245;54.245;CONCRETE.;A;45.000;45.000;45.000;45.000
S846;KG;1;FERT;YBLK;PEREIRA;23.100;24.000;29.250;33.600;34.500;27.000;31.700;31.700;31.700;31.700;CONCRETE.;A;30.000;30.000;30.000;24.000
S846;KG;1;FERT;YBLK;BARRANQUILLA;19.500;47.400;16.575;3.000;14.850;10.755;18.680;18.680;18.680;18.680;CONCRETE.;A;15.000;15.000;15.000;15.000
S846;KG;1;FERT;YBLK;ORIENTE;0;11.400;90;15.000;16.650;12.015;14.555;14.555;14.555;14.555;CONCRETE.;A;15.000;15.000;15.000;7.500
S846;KG;1;FERT;YBLK;BOGOTÁ;6.000;6.000;9.000;0;6.000;9.000;6.000;6.000;6.000;6.000;CONCRETE.;A;9.000;9.000;9.000;9.000
S4036;KG;1;FERT;YBLK;BOGOTÁ;174.000;310.500;317.400;324.300;349.500;347.400;340.400;340.400;340.400;340.400;CONCRETE.;A;360.000;360.000;360.000;360.000
S4036;KG;1;FERT;YBLK;SANTANDER;0;0;42.000;36.000;52.500;21.000;36.500;36.500;36.500;36.500;CONCRETE.;A;30.000;30.000;30.000;30.000
S4036;KG;1;FERT;YBLK;ORIENTE;0;0;0;0;27.000;0;9.000;9.000;9.000;9.000;CONCRETE.;A;15.000;15.000;15.000;15.000
S3858;KG;1;FERT;YBLK;MEDELLÍN;126.000;243.000;178.500;211.500;244.200;221.400;225.700;225.700;225.700;225.700;CONCRETE.;A;240.000;240.000;240.000;240.000
S3858;KG;1;FERT;YBLK;PEREIRA;0;29.100;15.000;10.500;22.500;15.000;16.000;16.000;16.000;16.000;CONCRETE.;A;22.500;22.500;22.500;22.500
S3606;KG;1;FERT;YBLK;BARRANQUILLA;205.290;198.630;212.490;171.840;131.760;76.500;166.085;166.085;166.085;166.085;CONCRETE.;A;60.000;12.000;0;0
S681;KG;1;FERT;YBLK;MEDELLÍN;69.000;147.600;135.900;109.500;108.900;91.800;110.450;110.450;110.450;110.450;CONCRETE.;A;94.124;85.495;85.495;85.495
S681;KG;1;FERT;YBLK;PEREIRA;13.500;24.000;34.800;17.700;24.000;16.200;21.700;21.700;21.700;21.700;CONCRETE.;A;24.000;22.437;22.437;22.437
S681;KG;1;FERT;YBLK;ORIENTE;27.000;24.000;18.000;12.000;16.500;15.000;18.750;18.750;18.750;18.750;CONCRETE.;A;17.334;16.548;16.548;16.548
